Supporting Information,,,,,,
Prediction of Energetic Material Properties from Electronic Structure using 3D Convolutional Neural Networks,,,,,,
Alex D. Casey,,"School of Mechanical Engineering, Purdue University, West Lafayette, Indiana 47907, USA",alex.casey.13@gmail.com,,,
Steven F. Son,,"School of Mechanical Engineering, Purdue University, West Lafayette, Indiana 47907, USA",,,,
Ilias Bilionis,,"School of Mechanical Engineering, Purdue University, West Lafayette, Indiana 47907, USA",,,,
Brian C. Barnes,,"U.S. Army Research Laboratory, Aberdeen Proving Ground, Maryland 21005, USA",brian.c.barnes11.civ@mail.mil,,,
,,,,,,
smiles,electronic_energy (Hartree),HOMO_LUMO_gap (eV),dipole_moment (Debye),crystal_density (g/cc),heat_of_formation (kcal/mol),set_designation
[O-][N+](=O)C1=CC=CO1,-434.5208579,4.828426304,5.0969,1.571,-25.904,train
[O-][N+](=O)C1=NNC=C1,-430.7007855,5.54300292,6.4662,1.647,23.28,train
[O-][N+](=O)C1=CC=NO1,-450.5232328,5.268437876,4.0068,1.638,9.457,train
[O-][N+](=O)C1=COC=C1,-434.5229681,4.921489976,3.9769,1.572,-27.081,train
[O-][N+](=O)C1=NOC=C1,-450.5241038,5.446945972,4.7383,1.664,7.622,train
[O-][N+](=O)C1=CN=CO1,-450.5623525,5.14843472,2.9975,1.659,-16.357,train
[O-][N+](=O)C1=CNC=N1,-430.7203544,5.282315792,7.4305,1.682,9.338,train
[O-][N+](=O)C1=CNN=N1,-446.7184541,5.654298364,6.2427,1.726,47.819,train
[O-][N+](=O)C1=CNN=C1,-430.7038142,5.589534756,4.7193,1.627,22.134,train
[O-][N+](=O)C1=CN=NN1,-446.7170093,4.965028536,0.8707,1.673,51.646,train
[O-][N+](=O)C1=CN=NO1,-466.5439456,5.175102088,1.8937,1.718,32.667,train
[O-][N+](=O)C1=CON=C1,-450.529238,5.630624272,1.483,1.645,5.382,train
[O-][N+](=O)C1=NON=C1,-466.5291045,5.45864696,2.15,1.73,41.646,train
[O-][N+](=O)C1=COC=N1,-450.5651288,5.418918024,4.6268,1.681,-19.029,train
[O-][N+](=O)C1=CON=N1,-466.550481,5.68450324,3.0046,1.752,26.194,train
[O-][N+](=O)C1=NC=CN1,-430.7186213,4.709783728,5.5449,1.639,12.458,train
[O-][N+](=O)C1=NC=CO1,-450.5568262,5.007750748,5.0263,1.671,-13.462,train
[O-][N+](=O)C1=NNC=N1,-446.7411146,5.53347886,6.8402,1.745,33.061,train
[O-][N+](=O)C1=NC=NN1,-446.7423732,5.271703268,2.7695,1.689,35.168,train
[O-][N+](=O)C1=NC=NO1,-466.5629741,5.293200432,2.7372,1.738,20.01,train
[O-][N+](=O)C1=NOC=N1,-466.5664833,5.459463308,4.2427,1.774,15.931,train
[O-][N+](=O)C1=NN=CO1,-466.5721747,5.350072676,3.8084,1.767,12.305,train
[O-][N+](=O)C1=NNN=N1,-462.7384662,5.557697184,4.8581,1.793,72.232,train
[O-][N+](=O)C1=NN=NN1,-462.7343595,5.194422324,3.3692,1.78,75.553,train
[O-][N+](=O)C1=NN=NO1,-482.5594103,5.243131088,0.7923,1.817,58.716,train
[O-][N+](=O)C1=NON=N1,-482.54849,5.377828508,1.3035,1.82,65.827,train
CC1=CC(=NO1)[N+]([O-])=O,-489.8529811,5.143264516,5.6187,1.527,-5.597,train
CC1=NOC(=C1)[N+]([O-])=O,-489.8500014,5.214014676,4.7065,1.512,-2.948,train
CC1=CN=C(O1)[N+]([O-])=O,-489.8855123,4.733185704,5.8766,1.533,-26.656,train
CC1=C(ON=C1)[N+]([O-])=O,-489.8477542,5.044758524,4.5335,1.522,-0.925,train
CC1=COC(=N1)[N+]([O-])=O,-489.8828855,4.746247272,5.3949,1.535,-25.132,train
CC1=CON=C1[N+]([O-])=O,-489.8473828,5.116597148,4.9678,1.54,-1.388,train
CC1=NC(=CO1)[N+]([O-])=O,-489.8950578,5.168299188,5.298,1.54,-32.96,train
