smiles,electronic_energy (Hartree),HOMO_LUMO_gap (eV),dipole_moment (Debye),crystal_density (g/cc),heat_of_formation (kcal/mol)
O=[N+]([O-])c1ccco1,2.2070907216710993,0.7095220966691518,0.17027893961704685,-1.0163806798420716,0.2786606534069465
O=[N+]([O-])c1cc[nH]n1,2.2340521315603685,1.6453964761690008,0.8466179138465262,0.12849011564412455,0.7916532028757587
O=[N+]([O-])c1ccno1,2.094148729032254,1.2858011795523416,-0.36815465112826473,-0.007086689084505633,0.6474783490349285
O=[N+]([O-])c1ccoc1,2.2070758282446947,0.8314067264440754,-0.3829231717807598,-1.0013165904277779,0.26638446133788357
O=[N+]([O-])c1ccon1,2.094142581664991,1.5195915805241238,-0.006844522121572381,0.3845796356870878,0.6283391710852849
O=[N+]([O-])c1cnco1,2.0938726289597933,1.1286341569478353,-0.8666786609798777,0.3092591886156292,0.3782365290937298
O=[N+]([O-])c1c[nH]cn1,2.2339140176508043,1.3039769576766724,1.322915053150906,0.6557332451443448,0.6462371707373766
O=[N+]([O-])c1c[nH]nn1,2.121002198633684,1.7911590889700049,0.7362244567952676,1.3185531793731953,1.0475966839146165
O=[N+]([O-])c1cn[nH]c1,2.234030755519922,1.706338791056462,-0.016229200797070954,-0.17279167264171658,0.7797003429682429
O=[N+]([O-])c1cnn[nH]1,2.121012395782044,0.8884287754615834,-1.9171699560877842,0.520156440415718,1.0875125607610938
O=[N+]([O-])c1cnno1,1.9810773106688049,1.163560161971059,-1.4118790989806804,1.198040464058859,0.8895602674061698
O=[N+]([O-])c1cnoc1,2.0941063453699265,1.7601533498167357,-1.6147363375084298,0.09836193681554042,0.6049758148960742
O=[N+]([O-])c1cnon1,1.981182056584172,1.5349162561975793,-1.2852847229527717,1.3788095370303635,0.9832118634878317
O=[N+]([O-])c1cocn1,2.0938530343148654,1.482883636469103,-0.06191776803305021,0.6406691557300545,0.3503673827823142
O=[N+]([O-])c1conn1,1.981031184946635,1.830718135475901,-0.8631717547379809,1.7102195041447887,0.8220464260611873
O=[N+]([O-])c1ncc[nH]1,2.2339262495706707,0.5541370130964426,0.39155978417616977,0.007977400329788095,0.6787789882866344
O=[N+]([O-])c1ncco1,2.0939116326288,0.9443816610600132,0.1354074493807209,0.49002826158713386,0.4084315809543391
O=[N+]([O-])c1nc[nH]n1,2.1208422647463587,1.6329229029464205,1.0313479046168654,1.604770878244746,0.8936697148787363
O=[N+]([O-])c1ncn[nH]1,2.1208333817653746,1.290077833228655,-0.9792948050858599,0.7611818710443908,0.9156458717942125
O=[N+]([O-])c1ncno1,1.9809430108089177,1.3182324699310488,-0.9952487588342072,1.4993222523446998,0.757546874867402
O=[N+]([O-])c1ncon1,1.9809182434826274,1.5359854196166574,-0.2516364564151017,2.041629471259214,0.7150026204496384
O=[N+]([O-])c1nnco1,1.9808780745663932,1.3927175214601686,-0.46615045371873354,1.9361808453591678,0.6771831876183535
O=[N+]([O-])c1nn[nH]n1,2.00793572568957,1.6646414177124098,0.05232834657972902,2.3278471701307613,1.3022259761678312
O=[N+]([O-])c1nnn[nH]1,2.007964710067456,1.1888636962225774,-0.6830847102597304,2.1320140077449663,1.3368642377322812
O=[N+]([O-])c1nnno1,1.868042932486908,1.252657113560915,-1.9558941038856308,2.6893853160737704,1.16125315373329
O=[N+]([O-])c1nnon1,1.8681200060744174,1.4290690777088304,-1.7033968544690603,2.7345775843166487,1.2354213795643068
Cc1cc([N+](=O)[O-])no1,1.8165661720215287,1.1218627886270065,0.4280118518736321,-1.6792006140709221,0.4904640793597598
Cc1cc([N+](=O)[O-])on1,1.8165872022284555,1.214523618280456,-0.02255151064161706,-1.9051619552853012,0.5180933340674468
Cc1cnc([N+](=O)[O-])o1,1.816336572441848,0.5847863644433539,0.5553965166321093,-1.5888160775851699,0.2708172409719972
Cc1cnoc1[N+](=O)[O-],1.8166030625771503,0.9928504027248941,-0.10800147963431402,-1.7545210611423807,0.5391933651258278
Cc1coc([N+](=O)[O-])n1,1.8163551119416486,0.6018929791486056,0.3174702156853919,-1.5586878987565858,0.2867126672364423
Cc1conc1[N+](=O)[O-],1.816605683854075,1.0869367836037829,0.10651251766931784,-1.4833674516851236,0.5343642428420758
